name,phone,address,city,state,zip
Fairmont San Francisco,+1 (415) 772-5000,950 Mason St, San Francisco, CA,94108
The Westin St. Francis,+1 (415) 397-7000,335 Powell St, San Francisco, CA,94102
Argonaut Hotel,+1 (415) 563-0800,495 Jefferson St, San Francisco, CA,94109
Infinity Hotel San Francisco,+1 (415) 913-7311,2322 Lombard St, San Francisco, CA,94123
Axiom Hotel,+1 (415) 392-9466,28 Cyril Magnin St, San Francisco, CA,94102
1 Hotel San Francisco,+1 (415) 821-1000,200 Mission St, San Francisco, CA,94105
Four Seasons Hotel San Francisco,+1 (415) 633-3000,757 Market St, San Francisco, CA,94103
Mansion on Sutter,+1 (415) 398-1111,55 5th St, San Francisco, CA,94103
Phoenix Hotel,+1 (415) 776-1380,601 Eddy St, San Francisco, CA,94109
The Ritz-Carlton San Francisco,+1 (415) 296-7465,600 Stockton St, San Francisco, CA,94108
Sheraton Grand Los Angeles,+1 (213) 617-1133,333 S Figueroa St, Los Angeles, CA,90071
Figueroa Hotel,+1 (213) 627-8971,939 S Figueroa St, Los Angeles, CA,90015
Fairmont Century Plaza,+1 (310) 424-3030,2025 Avenue of the Stars, Los Angeles, CA,90067
Mondrian Los Angeles,+1 (323) 650-8999,8440 Sunset Blvd, West Hollywood, CA,90069
The Westgate Hotel,+1 (619) 238-1818,1055 Second Ave, San Diego, CA,92101
The Beverly Hilton,+1 (310) 274-7777,9876 Wilshire Blvd, Beverly Hills, CA,90210
JW Marriott Los Angeles,+1 (213) 765-8600,900 W Olympic Blvd, Los Angeles, CA,90015
The Hollywood Roosevelt,+1 (323) 856-1970,7000 Hollywood Blvd, Los Angeles, CA,90028
The Haas Trademark Collection,+1 (213) 880-1425,219 W 7th St, Los Angeles, CA,90014
Palihotel Hollywood,+1 (888) 725-4737,7023 W Sunset Blvd, Los Angeles, CA,90028
The Ritz-Carlton New York,+1 (212) 308-9100,50 Central Park S, New York, NY,10019
St. Regis New York,+1 (212) 753-4500,2 E 55th St, New York, NY,10022
